program,year,corriente_bob,corriente_pct,inversion_bob,inversion_pct,total_bob,total_pct,program_code
33 SERVICIOS DE SEGURIDAD CIUDADANA,2016,2172773,0.02,14126300,0.3,16299073,0.1,33
33 SERVICIOS DE SEGURIDAD CIUDADANA,2017,9043871,0.08,14611594,0.34,23655465,0.15,33
33 SERVICIOS DE SEGURIDAD CIUDADANA,2018,1656701,0.01,17855293,0.38,19511994,0.11,33
33 SERVICIOS DE SEGURIDAD CIUDADANA,2019,4403996,0.03,80341529,2.2,84745525,0.46,33
33 SERVICIOS DE SEGURIDAD CIUDADANA,2020,3849548,0.03,83833074,2.28,87682622,0.49,33
33 SERVICIOS DE SEGURIDAD CIUDADANA,2021,3022918,0.03,110903988,4.95,113926906,0.81,33
34 FORTALECIMIENTO INSTITUCIONAL,2012,111545598,1.71,64750706,1.27,176296304,1.52,34
34 FORTALECIMIENTO INSTITUCIONAL,2013,231559126,2.76,102961211,1.81,334520337,2.38,34
34 FORTALECIMIENTO INSTITUCIONAL,2014,275254874,2.85,141728032,2.1,416982906,2.54,34
34 FORTALECIMIENTO INSTITUCIONAL,2015,303190176,2.55,99544854,1.39,402735030,2.12,34
34 FORTALECIMIENTO INSTITUCIONAL,2016,248955568,2.09,56614147,1.22,305569715,1.84,34
34 FORTALECIMIENTO INSTITUCIONAL,2017,239379139,2.06,87353369,2.06,326732508,2.06,34
34 FORTALECIMIENTO INSTITUCIONAL,2018,234686370,1.87,71409029,1.53,306095399,1.78,34
34 FORTALECIMIENTO INSTITUCIONAL,2019,255161813,1.72,31693502,0.87,286855315,1.55,34
34 FORTALECIMIENTO INSTITUCIONAL,2020,238312532,1.66,11793140,0.32,250105672,1.39,34
34 FORTALECIMIENTO INSTITUCIONAL,2021,191571899,1.63,9128431,0.41,200700330,1.43,34
35 FOMENTO AL DESARROLLO ECONOMICO LOCAL Y PROMOCIÓN DEL EMPLEO,2012,423153972,6.49,74913155,1.47,498067127,4.29,35
35 FOMENTO AL DESARROLLO ECONOMICO LOCAL Y PROMOCIÓN DEL EMPLEO,2013,500816024,5.98,87787046,1.54,588603070,4.18,35
35 FOMENTO AL DESARROLLO ECONOMICO LOCAL Y PROMOCIÓN DEL EMPLEO,2014,682231182,7.06,72781954,1.08,755013136,4.6,35
35 FOMENTO AL DESARROLLO ECONOMICO LOCAL Y PROMOCIÓN DEL EMPLEO,2015,935493301,7.88,112894572,1.58,1048387873,5.51,35
35 FOMENTO AL DESARROLLO ECONOMICO LOCAL Y PROMOCIÓN DEL EMPLEO,2016,903980444,7.58,46322217,1,950302661,5.73,35
35 FOMENTO AL DESARROLLO ECONOMICO LOCAL Y PROMOCIÓN DEL EMPLEO,2017,821600809,7.05,44524202,1.05,866125011,5.45,35
35 FOMENTO AL DESARROLLO ECONOMICO LOCAL Y PROMOCIÓN DEL EMPLEO,2018,1104823834,8.79,171808431,3.68,1276632265,7.41,35
35 FOMENTO AL DESARROLLO ECONOMICO LOCAL Y PROMOCIÓN DEL EMPLEO,2019,1228090033,8.29,67941260,1.86,1296031293,7.02,35
35 FOMENTO AL DESARROLLO ECONOMICO LOCAL Y PROMOCIÓN DEL EMPLEO,2020,1175297443,8.19,44658894,1.21,1219956337,6.77,35
35 FOMENTO AL DESARROLLO ECONOMICO LOCAL Y PROMOCIÓN DEL EMPLEO,2021,983790696,8.36,37060246,1.65,1020850942,7.29,35
97 PARTIDAS NO ASIGNABLES A PROGRAMAS - ACTIVOS FINANCIEROS,2012,11709345,0.18,2848872,0.06,14558217,0.13,97
97 PARTIDAS NO ASIGNABLES A PROGRAMAS - ACTIVOS FINANCIEROS,2013,43571838,0.52,5644082,0.1,49215920,0.35,97
97 PARTIDAS NO ASIGNABLES A PROGRAMAS - ACTIVOS FINANCIEROS,2014,72755014,0.75,6232726,0.09,78987740,0.48,97
97 PARTIDAS NO ASIGNABLES A PROGRAMAS - ACTIVOS FINANCIEROS,2015,63703866,0.54,34140446,0.48,97844312,0.51,97
97 PARTIDAS NO ASIGNABLES A PROGRAMAS - ACTIVOS FINANCIEROS,2016,45866523,0.38,22602880,0.49,68469403,0.41,97
97 PARTIDAS NO ASIGNABLES A PROGRAMAS - ACTIVOS FINANCIEROS,2017,49778304,0.43,9807837,0.23,59586141,0.37,97
97 PARTIDAS NO ASIGNABLES A PROGRAMAS - ACTIVOS FINANCIEROS,2018,51922912,0.41,3893096,0.08,55816008,0.32,97
97 PARTIDAS NO ASIGNABLES A PROGRAMAS - ACTIVOS FINANCIEROS,2019,57633499,0.39,21222979,0.58,78856478,0.43,97
97 PARTIDAS NO ASIGNABLES A PROGRAMAS - ACTIVOS FINANCIEROS,2020,39406759,0.27,1262998,0.03,40669757,0.23,97
97 PARTIDAS NO ASIGNABLES A PROGRAMAS - ACTIVOS FINANCIEROS,2021,33948777,0.29,1491930,0.07,35440707,0.25,97
98 PARTIDAS NO ASIGNABLES A PROGRAMAS - OTRAS TRANSFERENCIAS,2012,366285310,5.62,568373379,0,934658689,8.05,98
98 PARTIDAS NO ASIGNABLES A PROGRAMAS - OTRAS TRANSFERENCIAS,2013,397839697,4.75,487046348,0,884886045,6.28,98
98 PARTIDAS NO ASIGNABLES A PROGRAMAS - OTRAS TRANSFERENCIAS,2014,252850710,2.61,486400623,0,739251333,4.5,98
98 PARTIDAS NO ASIGNABLES A PROGRAMAS - OTRAS TRANSFERENCIAS,2015,256221128,2.16,381175209,0,637396337,3.35,98
98 PARTIDAS NO ASIGNABLES A PROGRAMAS - OTRAS TRANSFERENCIAS,2016,285220060,2.39,212222193,0,497442253,3,98
98 PARTIDAS NO ASIGNABLES A PROGRAMAS - OTRAS TRANSFERENCIAS,2017,309767218,2.66,132231417,0,441998635,2.78,98
98 PARTIDAS NO ASIGNABLES A PROGRAMAS - OTRAS TRANSFERENCIAS,2018,142822952,1.14,165160724,0,307983676,1.79,98
98 PARTIDAS NO ASIGNABLES A PROGRAMAS - OTRAS TRANSFERENCIAS,2019,104878481,0.71,38586800,0,143465281,0.78,98
98 PARTIDAS NO ASIGNABLES A PROGRAMAS - OTRAS TRANSFERENCIAS,2020,101011239,0.7,6887809,0,107899048,0.6,98
98 PARTIDAS NO ASIGNABLES A PROGRAMAS - OTRAS TRANSFERENCIAS,2021,51171890,0.43,49147426,0,100319316,0.72,98
99 PARTIDAS NO ASIGNABLES A PROGRAMAS - DEUDAS,2012,6520104524,100,5091354949,100,11611459473,100,99
99 PARTIDAS NO ASIGNABLES A PROGRAMAS - DEUDAS,2013,8379994534,100,5700950571,100,14080945105,100,99
99 PARTIDAS NO ASIGNABLES A PROGRAMAS - DEUDAS,2014,9670025557,100,6750255826,100,16420281383,100,99
99 PARTIDAS NO ASIGNABLES A PROGRAMAS - DEUDAS,2015,11867017537,100,7154766860,100,19021784397,100,99
99 PARTIDAS NO ASIGNABLES A PROGRAMAS - DEUDAS,2016,11921425386,100,4652371614,100,16573797000,100,99
99 PARTIDAS NO ASIGNABLES A PROGRAMAS - DEUDAS,2017,11646983409,100,4249725184,100,15896708593,100,99
99 PARTIDAS NO ASIGNABLES A PROGRAMAS - DEUDAS,2018,12572785019,100,4666562708,100,17239347727,100,99
99 PARTIDAS NO ASIGNABLES A PROGRAMAS - DEUDAS,2019,14806725992,100,3654058750,100,18460784742,100,99
99 PARTIDAS NO ASIGNABLES A PROGRAMAS - DEUDAS,2020,14350097922,100,3678894466,100,18028992388,100,99
99 PARTIDAS NO ASIGNABLES A PROGRAMAS - DEUDAS,2021,11766308395,100,2242411100,100,14008719495,100,99
