dept,antropico_1985,antropico_2024,cambio_ha,cambio_pct
Beni,2009674.25839263,2996157.25048543,986482.9920928,49.0867108424727
Chuquisaca,142733.631314599,318591.399440082,175857.768125483,123.206960059662
Cochabamba,269171.161148035,808889.859599293,539718.698451257,200.511338640186
La Paz,916601.600960021,1533297.73623407,616696.135274054,67.2807176671026
Oruro,286817.894204383,626070.698840252,339252.804635869,118.281603585766
Pando,34767.028627124,225005.723070153,190238.694443029,547.181343805181
Potosi,315586.739695347,619267.784681177,303681.04498583,96.227441393447
Santa Cruz,1131779.06366633,7195575.67533457,6063796.61166825,535.775647945366
Tarija,122211.239944122,334082.89596394,211871.656019818,173.365114466305
