municipio,year,defor_ha,forest_area_2000_ha,defor_pct_2000
Acasio,2001,0,614.143335655332,0
Acasio,2002,0,614.143335655332,0
Acasio,2003,0,614.143335655332,0
Acasio,2004,0,614.143335655332,0
Acasio,2005,0,614.143335655332,0
Acasio,2006,0,614.143335655332,0
Acasio,2007,0,614.143335655332,0
Acasio,2008,0,614.143335655332,0
Acasio,2009,0,614.143335655332,0
Acasio,2010,0,614.143335655332,0
Acasio,2011,0,614.143335655332,0
Acasio,2012,0,614.143335655332,0
Acasio,2013,0,614.143335655332,0
Acasio,2014,0,614.143335655332,0
Acasio,2015,0,614.143335655332,0
Acasio,2016,0,614.143335655332,0
Acasio,2017,0,614.143335655332,0
Acasio,2018,0,614.143335655332,0
Acasio,2019,0,614.143335655332,0
Acasio,2020,0,614.143335655332,0
Acasio,2021,0,614.143335655332,0
Acasio,2022,0,614.143335655332,0
Acasio,2023,0,614.143335655332,0
Achacachi,2001,0.740195699036121,78.0201113596559,0.948724227813492
Achacachi,2002,1.70228201150894,78.0201113596559,2.18185027147909
Achacachi,2003,4.95950739085674,78.0201113596559,6.35670380934793
Achacachi,2004,1.55431741476059,78.0201113596559,1.99220096930588
Achacachi,2005,0.222070895135403,78.0201113596559,0.284632886656242
Achacachi,2006,2.36846908926964,78.0201113596559,3.03571610959578
Achacachi,2007,0.888124130666256,78.0201113596559,1.13832717640224
Achacachi,2008,0.370139174163342,78.0201113596559,0.474415080564394
Achacachi,2009,2.96064890921116,78.0201113596559,3.7947253055859
Achacachi,2010,0.962169662117958,78.0201113596559,1.23323287463993
Achacachi,2011,0.222176238894463,78.0201113596559,0.284767907943989
Achacachi,2012,0.962086915969849,78.0201113596559,1.2331268171803
Achacachi,2013,0,78.0201113596559,0
Achacachi,2014,0.0740663409233093,78.0201113596559,0.0949323701704032
Achacachi,2015,0,78.0201113596559,0
Achacachi,2016,0,78.0201113596559,0
Achacachi,2017,0,78.0201113596559,0
Achacachi,2018,0,78.0201113596559,0
Achacachi,2019,0,78.0201113596559,0
