year,commoditie,producer_price_BOB_t,reference_price_BOB_t,price_gap_pct
2006,Beans,4217.22,3027.52,39.29618962054753
2006,Beef and Veal,7526.4,10725.99,-29.83025343115181
2006,Eggs,7193,17323.89,-58.479302281416004
2006,Maize,1539.22,541.3256812,184.34268933775465
2006,Milk,970.4,1717.12,-43.4867685426761
2006,Pigmeat,7657.4,14490.93,-47.15729080190161
2006,Plantains,753.7559379,1230.7,-38.753884951653525
2006,Potatoes,1632.23,2981.08,-45.24702456827727
2006,Poultry Meat,6200,7706.77,-19.55125169169445
2006,Quinoa,5413.26,9239,-41.40859400368006
2006,Refined Sugar,1830.99,2534.4,-27.75449810606061
2006,Rice,1627.2,1159.41,40.347245581804536
2006,Sorghum,899.7333639,600.2784128,49.886010343632336
2006,Soybeans,1355.92,1277.96,6.100347428714525
2007,Beans,4643.68,4708.6,-1.3787537696980046
2007,Beef and Veal,8050.2,18512.75,-56.51537453916895
2007,Eggs,7883.8,21798.77,-63.83373924308573
2007,Maize,1620.8,765.5610256,111.71401701513162
2007,Milk,1055.8,1400.23,-24.59810174042836
2007,Pigmeat,7939.1,13466,-41.043368483588296
2007,Plantains,897.1238066,1479.83,-39.37656307819142
2007,Potatoes,1922.13,2206.26,-12.87835522558538
2007,Poultry Meat,6370,9680.64,-34.19856538410683
2007,Quinoa,5551.33,9729.73,-42.944665473759294
2007,Refined Sugar,1781.5,2037.4,-12.560125650338671
2007,Rice,1978,1080.53,83.05831397554904
2007,Sorghum,947.412,566.6224254,67.20340698326339
2007,Soybeans,1754.88,1565.64,12.087069824480734
2008,Beans,6946.28,8442.77,-17.72510680736299
2008,Beef and Veal,9520.7,21863.36,-56.4536283535559
2008,Eggs,8097.9,27526.32,-70.58124732982833
2008,Maize,1549.32,1151.49,34.549149362999245
2008,Milk,1050.4,1087,-3.3670653173872966
2008,Pigmeat,9606.8,12857.52,-25.282636153783944
2008,Plantains,1721.54,1699.62,1.2897000505995404
2008,Potatoes,2065.46,3566.19,-42.082166121266674
2008,Poultry Meat,8490,8454.08,0.42488360649532986
2008,Quinoa,5539.55,15982.55,-65.34001144998764
2008,Refined Sugar,1684.97,2042.95,-17.522700017132088
2008,Rice,2048.98,1264.49,62.04003194963978
2008,Sorghum,996.8726281,819.7022369,21.613993865630256
2008,Soybeans,1782.85,2578.01,-30.843945523873074
2009,Beans,10870.56,3756.17,189.40543159654646
2009,Beef and Veal,7924.7,29972.99,-73.56052899627298
2009,Eggs,8336.4,20542.03,-59.4178374776008
2009,Maize,2038.73,826.4935057,146.6722346805731
2009,Milk,1097.7,1739.1,-36.881145420044845
2009,Pigmeat,5537.9,12708.46,-56.4235163033129
2009,Plantains,1852.38,1730.11,7.067180699493103
2009,Potatoes,2043.19,2600.26,-21.423626868082422
2009,Poultry Meat,7420,7930.4,-6.435993140320784
2009,Quinoa,5601.01,20863.44,-73.15394776700295
2009,Refined Sugar,1605.62,2290.02,-29.886201867232607
2009,Rice,1774.42,959.3745513,84.95591712283519
2009,Sorghum,1001.96,892.2161387,12.300143041561862
2009,Soybeans,1903.03,2135.48,-10.885140577294095
2010,Bananas,1397.845471,969.4757618,44.18570593293198
2010,Beans,8788.84992,5195.261826,69.17049061927298
2010,Beef and Veal,8201.753944,4200.366671,95.26280885490819
2010,Eggs,6635.184101,11088.50944,-40.161622832148666
2010,Maize,2170.218564,1565.296512,38.64584424500397
2010,Milk,2490,1420.371074,75.30630168268269
2010,Pigmeat,16653.87055,16841.72488,-1.1154102761949503
2010,Potatoes,2470.168062,2329.052505,6.058925537189652
2010,Poultry Meat,8787.145667,16718.50026,-47.44058659362068
2010,Refined Sugar,168.875377,118.9159268,42.01241292432159
2010,Rice,1616.657489,2399.071405,-32.61319835538619
2010,Sorghum,1488.154445,472.084177,215.2307400889651
2010,Soybeans,2333.595833,2313.899322,0.8512259290077928
2010,Wheat,2175.683333,1873.491142,16.129896972846215
2011,Bananas,1691.472655,1232.013718,37.293329634824744
2011,Beans,10869.472,5775.299677,88.20619894907662
2011,Beef and Veal,8134.889994,6145.966247,32.36144923462349
2011,Eggs,7181.715045,10896.45105,-34.09124666328859
2011,Maize,1834.96875,2285.946085,-19.728257720479004
2011,Milk,2810,1586.214262,77.15135132229696
2011,Pigmeat,18025.62685,17462.74175,3.2233489337377463
2011,Potatoes,2954.748757,2590.174441,14.07528042239683
2011,Poultry Meat,10453.01643,14988.23722,-30.25853356489644
2011,Refined Sugar,247.1958542,235.0350245,5.174050006321518
2011,Rice,1745.664196,2329.853785,-25.074088029090625
2011,Sorghum,1519.3125,1109.19107,36.974822561454616
2011,Soybeans,2480.15625,2999.215899,-17.306511651030686
2011,Wheat,2844.375,2063.830269,37.82019978698161
2012,Bananas,1681.408273,1465.703979,14.716770718407135
2012,Beans,11100.93312,7114.969915,56.02220743894741
2012,Beef and Veal,9025.792901,7158.190859,26.09041975531936
2012,Eggs,7560.253466,11332.1331,-33.28481584813012
2012,Maize,1138.52615,2162.098035,-47.341603776999875
2012,Milk,2736.890387,1661.787082,64.69561092664698
2012,Pigmeat,18463.89292,19217.32734,-3.9205993979805953
2012,Potatoes,2381.145138,2852.310862,-16.518736799593626
2012,Poultry Meat,8813.568553,16304.73593,-45.94473292398794
2012,Refined Sugar,177.4819971,124.773218,42.243664101057334
2012,Rice,1612.753767,2669.062132,-39.57601257519171
2012,Sorghum,817.7985,986.4344164,-17.095502102961703
2012,Soybeans,2539.425,3302.218909,-23.099434956327425
2012,Wheat,2919.475,1827.114522,59.78609796195358
2013,Bananas,1614.647937,1667.373792,-3.1622096528670984
2013,Beans,10309.73312,6933.488901,48.694737486535146
2013,Beef and Veal,9087.867869,7514.942116,20.93064362599808
2013,Eggs,7644.373115,14952.28991,-48.874900359660025
2013,Maize,1616.94,2258.161744,-28.395740283163697
2013,Milk,2738.23967,1806.248142,51.59819995540791
2013,Pigmeat,18549.1961,19547.67612,-5.107921851531061
2013,Potatoes,3251.462451,2982.737842,9.009327109345055
2013,Poultry Meat,9313.145436,24193.41236,-61.50544909738396
2013,Refined Sugar,138.1064289,116.6707991,18.372746193010347
2013,Rice,2309.881151,2885.054474,-19.936307206100956
2013,Sorghum,1143.605,1093.619048,4.570691420510076
