dept,year,pib_agro_bob_chain2017,pib_total_bob_chain2017,agro_pct_gdp
CHUQUISACA,2017,1120.7073399262285,15203.652181343405,7.3713034641864725
CHUQUISACA,2018,1213.4253645135077,15717.113066819311,7.720408699452526
CHUQUISACA,2019,1238.0328888018907,15882.045306146256,7.795172881938446
CHUQUISACA,2020,1247.7968092501583,13961.586891999923,8.93735661212805
CHUQUISACA,2021,1341.3914057752945,14352.727780293248,9.345898746975942
BOLIVIA,2017,11883.244970936776,317358.6076064579,3.7444218263248277
BOLIVIA,2018,12202.065332416909,326460.7215382701,3.7376825227002057
BOLIVIA,2019,12330.761500274893,331379.5739564769,3.721038491616386
BOLIVIA,2020,10709.339114397448,289229.8517374957,3.702708779907413
BOLIVIA,2021,12489.79968495056,318236.8548797885,3.924686752471987
LA PAZ,2017,3588.714445578235,81763.01504782209,4.389165985964735
LA PAZ,2018,3647.113260471588,82493.50312461077,4.421091507003203
LA PAZ,2019,3799.3674088613798,85781.93381041057,4.429099741745721
LA PAZ,2020,3940.772001458332,72412.78588315264,5.442094173558348
LA PAZ,2021,3873.228487052437,82465.19931547917,4.696803644692593
COCHABAMBA,2017,4952.510527617562,55345.8566578135,8.948295006503232
COCHABAMBA,2018,5000.5109609209285,57587.07994044212,8.68339038217005
COCHABAMBA,2019,5110.9509997831665,57332.63667034635,8.914557739896617
COCHABAMBA,2020,5476.905456747034,50711.116603242066,10.800206786211614
COCHABAMBA,2021,5669.199192801441,54692.59962761552,10.365569074063423
ORURO,2017,462.59552122316484,11883.244970936774,3.892838381726113
ORURO,2018,477.6818844028163,12202.065332416909,3.914762553629108
ORURO,2019,484.7843827539075,12330.76150027489,3.931504009246308
ORURO,2020,492.40545915932717,10709.33911439745,4.597907059431387
ORURO,2021,422.8126739471526,12489.799684950563,3.3852638522026557
POTOSÍ,2017,877.3968720952763,19709.76276193867,4.451585149414425
POTOSÍ,2018,918.5431361596031,21614.092977522454,4.249741763926161
POTOSÍ,2019,972.7248385393257,21213.03795024453,4.5855046355023035
POTOSÍ,2020,979.4259084304546,17297.945021925378,5.662094007057018
POTOSÍ,2021,943.132535814893,19978.840997475592,4.7206568986362205
TARIJA,2017,1034.912603343208,24366.521341517277,4.247272677285519
TARIJA,2018,1123.5469402794351,23559.424346651514,4.76899148191252
TARIJA,2019,1117.414077603789,21796.43456646737,5.126591113772662
TARIJA,2020,1161.514237208624,19536.721806312802,5.94528728373104
TARIJA,2021,1281.7955677506068,20419.327616781524,6.277364229648627
SANTA CRUZ,2017,10285.968575921957,95419.71960746413,10.779709496355872
SANTA CRUZ,2018,10492.652953703355,98478.36694587402,10.654779601971223
SANTA CRUZ,2019,10857.384067517212,101417.90886008508,10.705588578537867
SANTA CRUZ,2020,11471.712430799771,91059.92531176504,12.597981374928292
SANTA CRUZ,2021,12024.534811963767,98976.9581967276,12.148822343139381
BENI,2017,1316.3345235226464,10381.25664730993,12.679915045388507
BENI,2018,1357.8364181294126,11229.750517560333,12.091421051662001
BENI,2019,1438.823871609581,12008.355893415319,11.981855671004455
BENI,2020,1498.8239576673798,10681.99588731253,14.031310004973863
BENI,2021,1579.0781367034804,11299.40675524958,13.974876477208486
PANDO,2017,724.9153518229384,3285.5783903121687,22.063553679328372
PANDO,2018,848.7170644694291,3579.3252863726807,23.711649446913675
PANDO,2019,857.4444101842621,3753.8157645715746,22.84194174569787
PANDO,2020,807.2104525172253,3001.9981524200953,26.88910557344892
PANDO,2021,849.1170669233616,3573.318035503718,23.76270621553182
