dept,year,actividad,constante_chain2017_mm,corriente_bob_mm
BENI,2021,Actividades de alojamiento y de servicio de comidas y bebidas,95.7706186006059,551.798384828413
BENI,2021,Actividades de atencion de la salud humana y de asistencia social,142.400713735822,724.236045117123
BENI,2021,Actividades financieras y de seguros,107.528835528861,273.138791016898
BENI,2021,"Actividades inmobiliarias, empresariales y de alquiler",103.961533996572,1142.53000021392
BENI,2021,Administracion publica,106.125981838416,352.468923457573
BENI,2021,"Agricultura, ganaderia, silvicultura y pesca",119.960246311683,1579.07813670348
BENI,2021,Comercio; reparacion de vehículos automotores y motocicletas,120.460615822004,778.302037732137
BENI,2021,Comunicación e informaciones,99.3947592356572,229.264168491266
BENI,2021,Construcción,81.2291722263001,587.340001325385
BENI,2021,Enseñanza,106.162610042323,1056.65297993731
BENI,2021,Impuestos netos de subvenciones a los productos,95.362284566625,771.399126412385
BENI,2021,Industrias manufactureras,122.547748431305,1367.1294517858
BENI,2021,PRODUCTO  INTERNO  BRUTO(1),108.844306032811,11299.4067552496
BENI,2021,"Suministro de electricidad, agua y recolección de desechos sólidos",116.98947180679,158.061931537187
BENI,2021,Transporte y almacenamiento,99.7991441835235,683.148138157448
BENI,2021,VALOR AGREGADO BRUTO,109.817652020787,10512.121644047
BOLIVIA,2017,100.893421159141,100,
BOLIVIA,2017,102.682940242837,100,
BOLIVIA,2017,102.868084782846,100,
BOLIVIA,2017,103.205466701215,100,
BOLIVIA,2017,103.377220679292,100,
BOLIVIA,2017,104.049487022101,100,
BOLIVIA,2017,108.173325244495,100,
BOLIVIA,2017,108.940492697622,100,
BOLIVIA,2017,109.661862695076,100,
BOLIVIA,2017,11229.7505175603,,10381.2566473099
BOLIVIA,2017,12202.0653324169,,11883.2449709368
BOLIVIA,2017,15717.1130668193,,15203.6521813434
BOLIVIA,2017,21614.0929775225,,19709.7627619387
BOLIVIA,2017,23559.4243466515,,24366.5213415173
BOLIVIA,2017,326460.72153827,,317358.607606458
BOLIVIA,2017,3579.32528637268,,3285.57839031217
BOLIVIA,2017,57587.0799404421,,55345.8566578135
BOLIVIA,2017,82493.5031246108,,81763.0150478221
BOLIVIA,2017,96.6876806764757,100,
BOLIVIA,2017,98478.366945874,,95419.7196074641
BOLIVIA,2018,100.893421159141,100.893421159141,
BOLIVIA,2018,102.682940242837,102.682940242837,
BOLIVIA,2018,102.868084782846,102.868084782846,
BOLIVIA,2018,103.205466701215,103.205466701215,
BOLIVIA,2018,103.377220679292,103.377220679292,
BOLIVIA,2018,104.049487022101,104.049487022101,
BOLIVIA,2018,108.173325244495,108.173325244495,
BOLIVIA,2018,108.940492697622,108.940492697622,
BOLIVIA,2018,109.661862695076,109.661862695076,
BOLIVIA,2018,11229.7505175603,,11229.7505175603
BOLIVIA,2018,12202.0653324169,,12202.0653324169
BOLIVIA,2018,15717.1130668193,,15717.1130668193
BOLIVIA,2018,21614.0929775225,,21614.0929775225
BOLIVIA,2018,23559.4243466515,,23559.4243466515
BOLIVIA,2018,326460.72153827,,326460.72153827
BOLIVIA,2018,3579.32528637268,,3579.32528637268
BOLIVIA,2018,57587.0799404421,,57587.0799404421
BOLIVIA,2018,82493.5031246108,,82493.5031246108
BOLIVIA,2018,96.6876806764757,96.6876806764757,
BOLIVIA,2018,98478.366945874,,98478.366945874
BOLIVIA,2019,100.893421159141,104.91532603126,
BOLIVIA,2019,102.682940242837,103.765945500851,
BOLIVIA,2019,102.868084782846,104.418019872146,
BOLIVIA,2019,103.205466701215,106.286110750793,
BOLIVIA,2019,103.377220679292,104.46204054599,
BOLIVIA,2019,104.049487022101,103.589753836166,
BOLIVIA,2019,108.173325244495,115.673432431005,
BOLIVIA,2019,108.940492697622,114.251292120743,
BOLIVIA,2019,109.661862695076,107.627058765054,
BOLIVIA,2019,11229.7505175603,,12008.3558934153
BOLIVIA,2019,12202.0653324169,,12330.7615002749
BOLIVIA,2019,15717.1130668193,,15882.0453061463
BOLIVIA,2019,21614.0929775225,,21213.0379502445
BOLIVIA,2019,23559.4243466515,,21796.4345664674
BOLIVIA,2019,326460.72153827,,331379.573956477
BOLIVIA,2019,3579.32528637268,,3753.81576457157
BOLIVIA,2019,57587.0799404421,,57332.6366703464
BOLIVIA,2019,82493.5031246108,,85781.9338104106
BOLIVIA,2019,96.6876806764757,89.4523853486184,
BOLIVIA,2019,98478.366945874,,101417.908860085
BOLIVIA,2020,100.893421159141,88.5642314447423,
BOLIVIA,2020,102.682940242837,90.1213358858596,
BOLIVIA,2020,102.868084782846,91.1366021923554,
