dept,muni_rel,muni_code,muni_name,year,agro_strict_bob,p10_agropecuario_bob,p12_microriegos_bob,p18_caminos_vecinales_bob,p32_recursos_hidricos_bob,rural_infra_bob,rural_total_bob,total_presupuesto_bob,agro_strict_bob_mm,p10_agropecuario_bob_mm,p12_microriegos_bob_mm,p18_caminos_vecinales_bob_mm,p32_recursos_hidricos_bob_mm,rural_infra_bob_mm,rural_total_bob_mm,total_presupuesto_bob_mm,agro_share_pct,p10_share_pct
Chuquisaca,6,1106,Villa Zudañez (Tacopaya),2020,200732,200732,,308160,,934935,1300866,47974110,0.200732,0.200732,,0.30816,,0.934935,1.300866,47.97411,0.418417350525106,0.418417350525106
Chuquisaca,6,1106,Villa Zudañez (Tacopaya),2021,480711,190836,289875,234697,,1158707,1747418,27814172,0.480711,0.190836,0.289875,0.234697,,1.158707,1.747418,27.814172,1.72829520145342,0.686110663297832
Chuquisaca,7,1107,Presto,2012,509506,137718,371788,1377254,,1527254,2383991,18176231,0.509506,0.137718,0.371788,1.377254,,1.527254,2.383991,18.176231,2.80314439225602,0.757681831838515
Chuquisaca,7,1107,Presto,2013,473871,191675,282196,573062,,1917562,2747516,23255529,0.473871,0.191675,0.282196,0.573062,,1.917562,2.747516,23.255529,2.03767026757379,0.824212599076977
Chuquisaca,7,1107,Presto,2014,1246765,627550,619215,1510177,,1586277,3569263,34377483,1.246765,0.62755,0.619215,1.510177,,1.586277,3.569263,34.377483,3.62669076150805,1.82546814145759
Chuquisaca,7,1107,Presto,2015,5413079,698275,4714804,1831428,,1851678,7575917,45478904,5.413079,0.698275,4.714804,1.831428,,1.851678,7.575917,45.478904,11.9023954491076,1.5353822070998
Chuquisaca,7,1107,Presto,2016,4439576,2080114,2359462,499399,,511099,5084403,39297849,4.439576,2.080114,2.359462,0.499399,,0.511099,5.084403,39.297849,11.2972493736235,5.29320065329784
Chuquisaca,7,1107,Presto,2017,1377284,365200,1012084,366848,,381048,1983592,28640067,1.377284,0.3652,1.012084,0.366848,,0.381048,1.983592,28.640067,4.80894126399914,1.27513668176824
Chuquisaca,7,1107,Presto,2018,3440027,352200,3087827,481138,,536838,4208150,28584288,3.440027,0.3522,3.087827,0.481138,,0.536838,4.20815,28.584288,12.0346779321563,1.23214543598217
Chuquisaca,7,1107,Presto,2019,8925491,236340,8689151,148856,,2686428,11842194,48986180,8.925491,0.23634,8.689151,0.148856,,2.686428,11.842194,48.98618,18.2204266591108,0.482462604759138
Chuquisaca,7,1107,Presto,2020,136480,136480,,149656,,155656,344036,47741481,0.13648,0.13648,,0.149656,,0.155656,0.344036,47.741481,0.285872991665257,0.285872991665257
