destino,dept,year,deuda_mm_bob
SEGURIDAD SOCIAL,La Paz,2007,27.9
SEGURIDAD SOCIAL,Oruro,2007,0
TRANSPORTE,Beni,2007,11.1
TRANSPORTE,Pando,2007,0
TRANSPORTE,Oruro,2007,7
OTROS,Beni,2007,102.9
OTROS,Chuquisaca,2007,79.5
OTROS,Cochabamba,2007,165.6
OTROS,La Paz,2007,29.9
OTROS,Oruro,2007,51.1
OTROS,Pando,2007,20.4
OTROS,Potosí,2007,31.4
OTROS,Santa Cruz,2007,82.6
OTROS,Tarija,2007,289.3
AGROPECUARIO,Beni,2008,5.7
AGROPECUARIO,Potosí,2008,77.7
AGROPECUARIO,Santa Cruz,2008,1.7
CAMINOS,Beni,2008,4.3
CAMINOS,Chuquisaca,2008,125.6
CAMINOS,Cochabamba,2008,29.8
CAMINOS,La Paz,2008,149.8
CAMINOS,Pando,2008,5.9
CAMINOS,Potosí,2008,230.1
CAMINOS,Santa Cruz,2008,125.2
ELECTRIFICACIÓN,Beni,2008,15.3
ELECTRIFICACIÓN,Chuquisaca,2008,6.1
ELECTRIFICACIÓN,Cochabamba,2008,11.2
ELECTRIFICACIÓN,La Paz,2008,58.6
ELECTRIFICACIÓN,Pando,2008,6.2
ELECTRIFICACIÓN,Potosí,2008,22.3
ELECTRIFICACIÓN,Santa Cruz,2008,33.3
FORTALECIMIENTO,Cochabamba,2008,0
FORTALECIMIENTO,La Paz,2008,0
FORTALECIMIENTO,Oruro,2008,0
FORTALECIMIENTO,Pando,2008,5.8
FORTALECIMIENTO,Potosí,2008,0.3
FORTALECIMIENTO,Santa Cruz,2008,0
RIEGO,Chuquisaca,2008,118.3
RIEGO,Cochabamba,2008,85.2
RIEGO,La Paz,2008,0
RIEGO,Oruro,2008,0.8
RIEGO,Potosí,2008,1.1
RIEGO,Santa Cruz,2008,156
RIEGO,Tarija,2008,1.1
SEGURIDAD SOCIAL,Beni,2008,0
SEGURIDAD SOCIAL,Chuquisaca,2008,0
SEGURIDAD SOCIAL,Cochabamba,2008,11.4
SEGURIDAD SOCIAL,La Paz,2008,25.7
SEGURIDAD SOCIAL,Oruro,2008,0
TRANSPORTE,Beni,2008,9
TRANSPORTE,Pando,2008,0
TRANSPORTE,Oruro,2008,5.5
OTROS,Beni,2008,90
OTROS,Chuquisaca,2008,67.5
OTROS,Cochabamba,2008,146.6
OTROS,La Paz,2008,25.3
OTROS,Oruro,2008,46.5
OTROS,Pando,2008,17.8
OTROS,Potosí,2008,24.6
OTROS,Santa Cruz,2008,63.1
OTROS,Tarija,2008,264.9
AGROPECUARIO,Beni,2009,4.2
AGROPECUARIO,Potosí,2009,76
AGROPECUARIO,Santa Cruz,2009,NA
CAMINOS,Beni,2009,3.8
CAMINOS,Chuquisaca,2009,113
CAMINOS,Cochabamba,2009,24.3
CAMINOS,La Paz,2009,107.6
CAMINOS,Pando,2009,5.3
CAMINOS,Potosí,2009,205.1
CAMINOS,Santa Cruz,2009,108.4
ELECTRIFICACIÓN,Beni,2009,15.1
ELECTRIFICACIÓN,Chuquisaca,2009,5.5
ELECTRIFICACIÓN,Cochabamba,2009,10.2
ELECTRIFICACIÓN,La Paz,2009,99.5
ELECTRIFICACIÓN,Pando,2009,6.2
ELECTRIFICACIÓN,Potosí,2009,20
ELECTRIFICACIÓN,Santa Cruz,2009,78.2
FORTALECIMIENTO,Cochabamba,2009,0
FORTALECIMIENTO,La Paz,2009,0
FORTALECIMIENTO,Oruro,2009,0
FORTALECIMIENTO,Pando,2009,5
FORTALECIMIENTO,Potosí,2009,0.2
FORTALECIMIENTO,Santa Cruz,2009,0
RIEGO,Chuquisaca,2009,127.6
RIEGO,Cochabamba,2009,84.4
RIEGO,La Paz,2009,0
RIEGO,Oruro,2009,0.7
RIEGO,Potosí,2009,1
RIEGO,Santa Cruz,2009,156.6
RIEGO,Tarija,2009,1
SEGURIDAD SOCIAL,Beni,2009,0
SEGURIDAD SOCIAL,Chuquisaca,2009,0
SEGURIDAD SOCIAL,Cochabamba,2009,10.1
SEGURIDAD SOCIAL,La Paz,2009,25.7
SEGURIDAD SOCIAL,Oruro,2009,0
TRANSPORTE,Beni,2009,7.8
TRANSPORTE,Pando,2009,0
TRANSPORTE,Oruro,2009,4.4
OTROS,Beni,2009,84.2
OTROS,Chuquisaca,2009,63.1
OTROS,Cochabamba,2009,133.6
OTROS,La Paz,2009,49.5
OTROS,Oruro,2009,42.7
OTROS,Pando,2009,16.8
OTROS,Potosí,2009,21.2
OTROS,Santa Cruz,2009,50.1
OTROS,Tarija,2009,233.7
AGROPECUARIO,Beni,2010,2.7
AGROPECUARIO,Potosí,2010,71.3
AGROPECUARIO,Santa Cruz,2010,1.1
CAMINOS,Beni,2010,3.4
CAMINOS,Chuquisaca,2010,97.9
CAMINOS,Cochabamba,2010,19
CAMINOS,La Paz,2010,106.9
CAMINOS,Pando,2010,4.6
