dept_upper,year,agro_strict_bob,p10_agropecuario_bob,rural_infra_bob,rural_total_bob,p10_corriente_bob,p10_inversion_bob,pib_agrop_bob_2017_mm,pib_total_bob_2017_mm,pib_agrop_pct_gdp,deuda_rural_mm_bob,p10_agropecuario_bob_mm,agro_strict_bob_mm,rural_infra_bob_mm,rural_total_bob_mm,p10_corriente_bob_mm,p10_inversion_bob_mm,cpi_2015base,bob_per_usd,p10_agropecuario_bob_mm_2015,agro_strict_bob_mm_2015,rural_infra_bob_mm_2015,rural_total_bob_mm_2015,p10_agropecuario_bob_per_capita_farmers_proxy,superficie_total_ha,produccion_total_ton,rend_cereales_kg_ha,prod_arroz_ton,prod_maiz_ton,prod_papa_ton,prod_trigo_ton
BENI,2012,19621078,19166407,143041036,166066094,9117025,10049382,,,,3.6,19.166407,19.621078,143.041036,166.066094,9.117025,10.049382,85.9299851602867,6.91,22.3046785871644,22.8337965651925,166.46230734613,193.257445221518,,61579,282572,1942.66666666667,48705,14282,12,0
BENI,2013,24859666,24709666,213355844,247289187,13401083,11308583,,,,3.1,24.709666,24.859666,213.355844,247.289187,13.401083,11.308583,90.8592730328446,6.91,27.1955356621307,27.3606261311529,234.82010903045,272.167252439504,,65094,295753,1960.33333333333,50872,15046,13,0
BENI,2014,24398269,24248267,216188237,250057365,17829267,6419000,,,,2.7,24.248267,24.398269,216.188237,250.057365,17.829267,6.419,96.0987645491769,6.91,25.2326521717055,25.3887436685147,224.96463717738,260.208719823903,,66548,304613,2026,54816,15662,14,0
BENI,2015,28153133,28103133,253350087,294498449,17725546,10377587,,,,2.1,28.103133,28.153133,253.350087,294.498449,17.725546,10.377587,100,6.91,28.103133,28.153133,253.350087,294.498449,,67917,326469,2097,58458,16497,15,0
BENI,2016,17374940,16314940,175899694,201768243,11343098,4971842,,,,13.8,16.31494,17.37494,175.899694,201.768243,11.343098,4.971842,103.623214317642,6.91,15.7444836154078,16.7674204225509,169.749312601716,194.713360638967,,68696,333499,2108.66666666667,59496,16718,15,0
BENI,2017,11481672,11481672,105901959,123187966,7671910,3809762,1316.33452352265,10381.2566473099,12.6799150453885,12.4,11.481672,11.481672,105.901959,123.187966,7.67191,3.809762,106.548246947132,6.91,10.7760308864557,10.7760308864557,99.3934316465551,115.617074451844,8722.45754770137,78131,382032,2151.66666666667,99886,16977,21,0
BENI,2018,9003970,9003970,154556982,169507943,7348970,1655000,1357.83641812941,11229.7505175603,12.091421051662,24.2,9.00397,9.00397,154.556982,169.507943,7.34897,1.655,108.969086910658,6.91,8.26286633692929,8.26286633692929,141.835621809622,155.55599097474,6631.115412565,79771.6,386611,2057.33333333333,103088,16686,22,0
BENI,2019,8322070,8322070,153290240,167951579,8172070,150000,1438.82387160958,12008.3558934153,11.9818556710045,22.2,8.32207,8.32207,153.29024,167.951579,8.17207,0.15,110.973622354616,6.91,7.49914242990722,7.49914242990722,138.132140546121,151.343693606136,5783.9393439381,91816.2899646906,447474.85345581,2092.5114510954,137073,15785,24,0
BENI,2020,8791487,8791487,164792121,179176376,7662919,1128568,1498.82395766738,10681.9958873125,14.0313100049739,19.6,8.791487,8.791487,164.792121,179.176376,7.662919,1.128568,112.017597999241,6.91,7.8483087988189,7.8483087988189,147.112707238301,159.953774407138,5865.59012152581,90610.8049241537,393993.012264193,1971.98086050861,105231.869817074,16385.4586539013,19.8425725640188,0
CHUQUISACA,2012,65224879,23753761,155179834,236646591,19363674,4390087,,,,229.5,23.753761,65.224879,155.179834,236.646591,19.363674,4.390087,85.9299851602867,6.91,27.6431573398875,75.9046785337329,180.588689397002,275.394660616523,,148066,366297,996.4,379,74249,0,0
CHUQUISACA,2013,68596146,30783448,174810481,275552341,24969759,5813689,,,,217.9,30.783448,68.596146,174.810481,275.552341,24.969759,5.813689,90.8592730328446,6.91,33.8803591229176,75.4971327749929,192.396961988468,303.27376810553,,155128,401842,1230.4,393,80867,0,0
CHUQUISACA,2014,64980378,29935571,217056630,311101633,26269343,3666228,,,,203.7,29.935571,64.980378,217.05663,311.101633,26.269343,3.666228,96.0987645491769,6.91,31.150838557015,67.6183281906267,225.868283550019,323.731147283167,,162121,429910,1178.8,396,81973,0,0
CHUQUISACA,2015,88581309,38604142,333779206,450923832,33243231,5360911,,,,187.7,38.604142,88.581309,333.779206,450.923832,33.243231,5.360911,100,6.91,38.604142,88.581309,333.779206,450.923832,,168788,458639,1272.8,456,93200,0,0
CHUQUISACA,2016,57684811,29304466,192170640,280097496,25403054,3901412,,,,169.9,29.304466,57.684811,192.17064,280.097496,25.403054,3.901412,103.623214317642,6.91,28.2798272500711,55.6678456462233,185.451340479488,270.303809667013,,172067,470385,1281,465,95111,0,0
CHUQUISACA,2017,42752265,23855701,132438667,209283485,18404593,5451108,1120.70733992623,15203.6521813434,7.37130346418647,154,23.855701,42.752265,132.438667,209.283485,18.404593,5.451108,106.548246947132,6.91,22.3895762563198,40.1247943771551,124.299245454235,196.421331177645,21286.2896048939,166435,482920,1245,391,97987,0,0
CHUQUISACA,2018,83824748,24679641,174456928,292539362,19048983,5630658,1213.42536451351,15717.1130668193,7.72040869945253,147,24.679641,83.824748,174.456928,292.539362,19.048983,5.630658,108.969086910658,6.91,22.6482956769514,76.9252550209275,160.09763222393,268.460872981204,20338.8207645508,171948,556291,1245.4,392,100918,0,0
CHUQUISACA,2019,98695344,23492150,246596102,399018789,20889680,2602470,1238.03288880189,15882.0453061463,7.79517288193845,157.5,23.49215,98.695344,246.596102,399.018789,20.88968,2.60247,110.973622354616,6.91,21.1691296558122,88.9358587256162,222.211455990869,359.561831481842,18975.3844283851,177839.068467174,581861.716481472,1189.59377773481,388,100479,0,0
CHUQUISACA,2020,31326026,30795281,149755272,208749952,21228585,9566696,1247.79680925016,13961.5868919999,8.93735661212805,158.9,30.795281,31.326026,149.755272,208.749952,21.228585,9.566696,112.017597999241,6.91,27.4914670105752,27.9652720282507,133.68905839332,186.354604748278,24679.7241118976,173391.330839858,586103.069641787,1242.04932046942,410.259564087973,101050.983290099,0,0
COCHABAMBA,2012,92803613,24750389,375013089,526167253,16724549,8025840,,,,107.1,24.750389,92.803613,375.013089,526.167253,16.724549,8.02584,85.9299851602867,6.91,28.8029713421138,107.999102789197,436.417029865048,612.32089359556,,215571,1436984,1601.8,8824,70403,0,0
COCHABAMBA,2013,81583153,28034620,566546633,724286161,23175687,4858933,,,,187.6,28.03462,81.583153,566.546633,724.286161,23.175687,4.858933,90.8592730328446,6.91,30.8549904310436,89.7906732871488,623.54299576577,797.151613504742,,223149,1476428,1600.6,8984,66807,0,0
COCHABAMBA,2014,84231876,31106817,571843010,739807026,24056647,7050170,,,,200.5,31.106817,84.231876,571.84301,739.807026,24.056647,7.05017,96.0987645491769,6.91,32.3696325815735,87.6513620077767,595.057608370573,769.840309051441,,233171,1601302,1674.4,9288,70659,0,0
COCHABAMBA,2015,107776362,40630499,529743631,713393188,31536202,9094297,,,,188.4,40.630499,107.776362,529.743631,713.393188,31.536202,9.094297,100,6.91,40.630499,107.776362,529.743631,713.393188,,243781,1694244,1851.2,10277,72398,0,0
COCHABAMBA,2016,80048784,39430331,702961921,856212608,28944197,10486134,,,,174.2,39.430331,80.048784,702.961921,856.212608,28.944197,10.486134,103.623214317642,6.91,38.0516385827717,77.249856151559,678.382663217889,826.274897606829,,247635,1743466,1852,10497,66518,0,0
COCHABAMBA,2017,77024352,37615261,523904546,682019412,27004009,10611252,4952.51052761756,55345.8566578135,8.94829500650323,163.1,37.615261,77.024352,523.904546,682.019412,27.004009,10.611252,106.548246947132,6.91,35.3035005997465,72.2905859147723,491.706396877611,640.103832340303,7595.19051806944,242802,1735229,1765.4,9761,77800,0,0
COCHABAMBA,2018,160536065,39978743,567510146,812533699,26704581,13274162,5000.51096092093,57587.0799404421,8.68339038217005,146.9,39.978743,160.536065,567.510146,812.533699,26.704581,13.274162,108.969086910658,6.91,36.688150863169,147.322575192009,520.799212041935,745.655233090263,7994.93158047938,258877,1945432,2050.2,10513,134262,0,0
