year,dept_upper,agro_strict_bob,p10_agropecuario_bob,rural_infra_bob,rural_total_bob,p10_corriente_bob,p10_inversion_bob,pib_agrop_bob_2017_mm,pib_total_bob_2017_mm,pib_agrop_pct_gdp,deuda_rural_mm_bob,p10_agropecuario_bob_mm,agro_strict_bob_mm,rural_infra_bob_mm,rural_total_bob_mm,p10_corriente_bob_mm,p10_inversion_bob_mm,cpi_2015base,bob_per_usd,p10_agropecuario_bob_mm_2015,agro_strict_bob_mm_2015,rural_infra_bob_mm_2015,rural_total_bob_mm_2015,p10_agropecuario_bob_per_capita_farmers_proxy
2012,BENI,19621078,19166407,143041036,166066094,9117025,10049382,,,,3.6,19.166407,19.621078,143.041036,166.066094,9.117025,10.049382,85.9299851602867,6.91,22.3046785871644,22.8337965651925,166.46230734613,193.257445221518,
2012,CHUQUISACA,65224879,23753761,155179834,236646591,19363674,4390087,,,,229.5,23.753761,65.224879,155.179834,236.646591,19.363674,4.390087,85.9299851602867,6.91,27.6431573398875,75.9046785337329,180.588689397002,275.394660616523,
2012,COCHABAMBA,92803613,24750389,375013089,526167253,16724549,8025840,,,,107.1,24.750389,92.803613,375.013089,526.167253,16.724549,8.02584,85.9299851602867,6.91,28.8029713421138,107.999102789197,436.417029865048,612.32089359556,
2012,LA PAZ,124674061,25858254,624345703,805632795,19321470,6536784,,,,102.8,25.858254,124.674061,624.345703,805.632795,19.32147,6.536784,85.9299851602867,6.91,30.0922360823945,145.087958257462,726.574899129096,937.545600057115,
2012,ORURO,59211768,19681218,189695333,264575421,8242936,11438282,,,,0,19.681218,59.211768,189.695333,264.575421,8.242936,11.438282,85.9299851602867,6.91,22.9037837761618,68.9069920000001,220.755691562332,307.896504935364,
2012,PANDO,10635522,10389922,69510352,83981549,3464748,6925174,,,,11.3,10.389922,10.635522,69.510352,83.981549,3.464748,6.925174,85.9299851602867,6.91,12.0911483699427,12.3769624539808,80.8918468568814,97.7325305518763,
2012,POTOSÍ,58223129,17320308,71580903,146219256,13285057,4035251,,,,226.7,17.320308,58.223129,71.580903,146.219256,13.285057,4.035251,85.9299851602867,6.91,20.1563027942948,67.7564751016719,83.3014259998753,170.160923136731,
2012,SANTA CRUZ,45257471,21815709,554971969,637523709,19248876,2566833,,,,209.4,21.815709,45.257471,554.971969,637.523709,19.248876,2.566833,85.9299851602867,6.91,25.3877723350083,52.6678445429502,645.842039847675,741.91064715165,
2012,TARIJA,130166683,94335916,339200680,497642694,29817195,64518721,,,,156.2,94.335916,130.166683,339.20068,497.642694,29.817195,64.518721,85.9299851602867,6.91,109.782302212707,151.479931897111,394.740764085183,579.125776725946,
2013,BENI,24859666,24709666,213355844,247289187,13401083,11308583,,,,3.1,24.709666,24.859666,213.355844,247.289187,13.401083,11.308583,90.8592730328446,6.91,27.1955356621307,27.3606261311529,234.82010903045,272.167252439504,
2013,CHUQUISACA,68596146,30783448,174810481,275552341,24969759,5813689,,,,217.9,30.783448,68.596146,174.810481,275.552341,24.969759,5.813689,90.8592730328446,6.91,33.8803591229176,75.4971327749929,192.396961988468,303.27376810553,
2013,COCHABAMBA,81583153,28034620,566546633,724286161,23175687,4858933,,,,187.6,28.03462,81.583153,566.546633,724.286161,23.175687,4.858933,90.8592730328446,6.91,30.8549904310436,89.7906732871488,623.54299576577,797.151613504742,
2013,LA PAZ,75589353,41057121,466313440,627304469,23965233,17091888,,,,98.2,41.057121,75.589353,466.31344,627.304469,23.965233,17.091888,90.8592730328446,6.91,45.1875957505827,83.1938782656508,513.226030139414,690.413260045825,
2013,ORURO,37413130,18619666,252440729,309457666,9404384,9215282,,,,0,18.619666,37.41313,252.440729,309.457666,9.404384,9.215282,90.8592730328446,6.91,20.4928626198332,41.1770078619004,277.837055672617,340.590074816177,
2013,PANDO,14449144,14329144,111291171,130481628,6886684,7442460,,,,9.8,14.329144,14.449144,111.291171,130.481628,6.886684,7.44246,90.8592730328446,6.91,15.7707006909687,15.9027730661864,122.487410789397,143.608487768587,
2013,POTOSÍ,56418087,14331987,141836640,218499509,12437494,1894493,,,,194.3,14.331987,56.418087,141.83664,218.499509,12.437494,1.894493,90.8592730328446,6.91,15.7738297056583,62.0939229610669,156.105849480798,240.481242812734,
2013,SANTA CRUZ,30288064,23062369,724195278,787749367,20267485,2794884,,,,194.2,23.062369,30.288064,724.195278,787.749367,20.267485,2.794884,90.8592730328446,6.91,25.3825154331393,33.335137943544,797.051587390768,866.999416465986,
2013,TARIJA,155781391,120304635,393804723,575553572,51600007,68704628,,,,156.2,120.304635,155.781391,393.804723,575.553572,51.600007,68.704628,90.8592730328446,6.91,132.407657451223,171.453486034042,433.42270948794,633.456060992194,
2014,BENI,24398269,24248267,216188237,250057365,17829267,6419000,,,,2.7,24.248267,24.398269,216.188237,250.057365,17.829267,6.419,96.0987645491769,6.91,25.2326521717055,25.3887436685147,224.96463717738,260.208719823903,
2014,CHUQUISACA,64980378,29935571,217056630,311101633,26269343,3666228,,,,203.7,29.935571,64.980378,217.05663,311.101633,26.269343,3.666228,96.0987645491769,6.91,31.150838557015,67.6183281906267,225.868283550019,323.731147283167,
2014,COCHABAMBA,84231876,31106817,571843010,739807026,24056647,7050170,,,,200.5,31.106817,84.231876,571.84301,739.807026,24.056647,7.05017,96.0987645491769,6.91,32.3696325815735,87.6513620077767,595.057608370573,769.840309051441,
2014,LA PAZ,66183694,30117315,795193233,884315645,19322642,10794673,,,,92.7,30.117315,66.183694,795.193233,884.315645,19.322642,10.794673,96.0987645491769,6.91,31.339960655361,68.8704941322442,827.474980277268,920.215414993672,
2014,ORURO,38803632,23324910,317528390,380542407,9342454,13982456,,,,0,23.32491,38.803632,317.52839,380.542407,9.342454,13.982456,96.0987645491769,6.91,24.2718104747995,40.3789082846564,330.418805579452,395.990946174198,
2014,PANDO,23170385,23170385,73222890,107427146,11108327,12062058,,,,7.3,23.170385,23.170385,73.22289,107.427146,11.108327,12.062058,96.0987645491769,6.91,24.1110123618113,24.1110123618113,76.195454065936,111.788269603639,
2014,POTOSÍ,73455432,14606198,214912288,306971432,11492434,3113764,,,,158.7,14.606198,73.455432,214.912288,306.971432,11.492434,3.113764,96.0987645491769,6.91,15.1991527347113,76.4374363651787,223.636889618932,319.433276213361,
