year,cpi_2015base,bob_per_usd,inv_agro_usd_mm,inv_agro_bob_mm_current,inv_agro_bob_mm_2015,inv_agro_pct_gdp,inv_agro_pct_total,inv_pub_total_usd_mm,emapa_bob_mm,emapa_bob_mm_2015,tfp_index,tfp_output,tfp_input,agr_value_added_pct_gdp,cereal_yield_kg_ha,undernourishment_pct,agr_employment_pct,gdp_current_usd,gdp_per_capita_usd,cpi_index,cpi_2010base,gdp_deflator,inflation_cpi,inv_productivos_usd_mm,inv_hidrocarb_usd_mm,inv_infraestr_usd_mm,inv_sociales_usd_mm,inv_multisec_usd_mm,agr_food_prod_index,rural_pop_pct,gdp_per_capita_const2015,agr_gdp_usd,aper_agro_spend_bob_current_aper,aper_agro_spend_bob_2015,aper_agro_spend_usd,aper_agro_spend_usd_2015,aper_spend_administracion_general,aper_spend_fomento_produccion,aper_spend_investigacion_extension,aper_spend_riego_agua,aper_spend_sanidad_inocuidad,aper_agro_spend_pct_gdp,tfp_per_mbob,PSE_BOB_mm,MPS_BOB_mm,GSSE_BOB_mm,CSE_BOB_mm,TSE_BOB_mm,GDP_BOB_mm,PSEP_pct,GSSEP_pct,TSEP_pct,CSEP_pct,NPC_producer,NAC_producer,bob_per_usd_idb,PSE_USD_mm,MPS_USD_mm,GSSE_USD_mm,CSE_USD_mm,TSE_USD_mm,GDP_USD_mm,BT_BOB_mm_agg,GHG_total_GgCO2e,GSSE_pct_total_support,PSE_BOB_2015,MPS_BOB_2015,BT_agg_BOB_2015,GSSE_BOB_2015,TSE_BOB_2015,CSE_BOB_2015
2010,74.82165525379531,7.01666666666666,84,589.3999999999995,787.7398568646372,0.42748692647271647,5.522682445759369,1521,392,523.9124938767187,87.4813,77.3566,88.4264,10.389905701059378,2267.3,19.9,29.8040198576427,19649723722.103382,1929.783730771584,74.82165525379531,99.9999999999999,75.4797499348189,2.5032760584424,303,109,654,472,93,78.67,33.5924334340867,2481.407008509452,2041587765.2452364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11105354037587122,1563.342994,1156.718424,592.2175604,-871.7205109,2155.560554,137875.568,6.073142386,27.47394683,1.563410098,-3.902839985,0.969972719,1.064658209,NA,NA,NA,NA,NA,NA,NA,433.00091606899997,NA,27.47394682052176,2089.4258336000926,1545.9674342627238,578.7106882362591,791.5055586396692,2880.9313917051572,-1165.0644561967001
2011,82.21737497988586,6.93696249999999,135,936.4899374999986,1139.041398158366,0.5633646544990765,6.18698441796517,2182,747,908.5670762205075,84.2662,79.1952,93.9821,9.769585881695397,2045.3,18.8,31.5087515949538,23963164696.591965,2315.5212193060715,82.21737497988586,109.884464198238,86.5015703998176,9.88446419823883,658,308,853,566,104,80.5,33.166284366824,2568.5205166367996,2341101955.0056643,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0739799274514903,707.0263589,164.8249891,779.0788701,-741.8148377,1486.105229,166231.5629,2.425385624,52.42420623,0.893997026,-2.75416802,0.99294806,1.024856728,NA,NA,NA,NA,NA,NA,NA,-332.21290340999997,NA,52.42420623364888,859.9476194332051,200.47464315216067,-404.06654127704087,947.5842184095496,1807.5318378427546,-902.2604259519134
2012,85.9299851602867,6.91,180,1243.8,1447.4574826004196,0.6645868180505174,6.213324128408699,2897,769,894.9146198100359,95.0523,87.8731,92.4471,9.812161914832805,2113.2,18.1,29.2461174583291,27084497481.910275,2575.598570980836,85.9299851602867,114.8464102656,92.6434202110263,4.51560291399375,933,488,1035,743,187,89.26,32.74185551723011,2657.238849158535,2657574746.74385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06566845737619488,-94.81211354,-783.9613001,1065.625294,-575.3319195,978.7242472,187153.8776,-0.298654669,NA,0.522951627,-2.12680789,1.007492765,0.997022346,NA,NA,NA,NA,NA,NA,NA,-907.751761835,NA,109.766257344701,-110.33647144607939,-912.3256551687555,-1056.3853352723788,1240.108783927136,1138.978722473149,-669.5356905122505
2013,90.85927303284464,6.91,223,1540.93,1695.952376201569,0.7273477123285511,5.897910605659878,3781,1185,1304.2147052746452,91.4108,91.6948,100.3107,9.966979476846303,1717.9,18,31.1048260743279,30659338885.672935,2870.0237700075613,90.85927303284464,121.434460016488,98.1977530505842,5.73640023719606,1190,578,1329,1084,178,93.43,32.3302944480111,2793.5145709867556,3055810014.47178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05389939085714961,559.7518304,-378.981339,1805.042976,-186.059945,2379.882846,211856.0317,1.578035927,75.84587532,1.12334911,-0.652603678,1.002866688,1.016033372,NA,NA,NA,NA,NA,NA,NA,-518.903243924,NA,76.32979280548541,616.0646147781259,-417.1080467075742,-571.1065327767063,1986.635943419332,2619.3065017587123,-204.77815724184953
2014,96.09876454917688,6.91,275,1900.25,1977.3927468417974,0.8334296066420324,6.101619702684713,4507,1564,1627.492306833612,94.8488,94.2843,99.4048,9.740217537701692,1958.1,17.2,29.1229457953441,32996188017.366135,3041.435031624083,96.09876454917688,128.437100493446,100.210313765951,5.76660074579143,1363,646,1440,1448,257,96.04,31.96257458700001,2900.9024158633783,3213900492.0405207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04796659649505048,828.7443823,-145.1995428,1630.424045,-715.0606304,2474.367601,228003.6592,1.874478641,65.8925555,1.085231531,-1.875629737,0.982763647,1.019102866,NA,NA,NA,NA,NA,NA,NA,-600.6391639880001,NA,66.29981203809187,862.3881755273809,-151.09407855675047,-625.0227740239401,1696.6129092800759,2574.817285745422,-744.0893061992282
2015,100,6.91,320,2211.2,2211.2,0.9696911442358527,6.541291905151267,4892,777,777,100,100,100,10.239494114445522,2280.2,16.1,27.9913929784824,33000198248.914616,2996.0128981134417,100,133.651146397122,95.5799937448752,4.05961041135644,1709,678,1696,1341,146,101.79,31.6041948702335,2996.0128981134417,3379053357.452966,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04522431259044863,-1274.640956,-2295.313382,1796.131385,13.6437254,536.1502447,228031.3699,-2.955128997,NA,0.235121266,0.036500346,0.979963065,0.971296923,NA,NA,NA,NA,NA,NA,NA,-1981.4815288710001,NA,344.42269409320267,-1274.640956,-2295.313382,-1981.4815288710001,1796.131385,536.1502447,13.6437254
2016,103.62321431764184,6.91,236,1630.76,1573.740026053567,0.6953216538886169,4.659427443237908,5065,443,427.5103826079436,99.488,100.2929,100.8091,11.17187541505321,2111.3,14.9,27.5245435383413,33941126193.921852,3035.8734773213155,103.62321431764184,138.493613869075,94.2850085286961,3.62321431764138,1866,530,1822,1192,185,102.17,31.255367212305305,3077.570575647662,3791860332.85094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06321755712694418,2915.426895,2198.708976,1291.319689,-2649.216937,4221.852237,234533.182,7.160864983,30.58656761,1.80010871,-7.422671027,0.947420997,1.077131966,NA,NA,NA,NA,NA,NA,NA,0.341325530000006,NA,30.696398350008142,2813.4881881420747,2121.8305091947627,0.32939098854212573,1246.1683393082635,4074.2340071198028,-2556.586334872042
2017,106.54824694713166,6.91,227,1568.57,1472.1687544782517,0.49425790334227565,4.756915339480302,4772,759,712.3533439049536,94.5064,99.8077,105.6094,7.677137224747516,1845.6,14.2,28.2661150516845,45927439594.79016,4048.4011973983856,106.54824694713164,142.402953510878,100,2.8227580554717,1720,341,1628,1194,230,101.63,30.916198372526395,3160.164212289682,3525912561.505065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0641953578436691,1131.792702,263.7260403,1532.105164,-1721.590444,2678.094593,259184.7174,2.394758718,57.20877701,1.033276429,-3.958656374,0.974248572,1.024535145,NA,NA,NA,NA,NA,NA,NA,-621.052646243,NA,57.51366009765781,1062.234935279213,247.5179534684026,-582.8839648118858,1437.944976007177,2513.5041352006924,-1615.7848611570669
2018,108.96908691065828,6.91,274,1893.3400000000001,1737.5019408507244,0.5659515432966573,6.146253925527143,4458,435,399.1957832560792,94.9291,107.6175,113.3662,7.45035399971013,2333.7,13.7,28.7570263173778,48414038842.2576,4206.855293666104,108.96908691065828,145.638433874571,102.475118360273,2.27205987230154,1420,162,1518,1278,241,109.51,30.586612018600107,3204.536708191235,3607017279.305355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0546353922076889,2983.078342,1632.946155,2286.579205,-2869.971752,5278.157547,278387.6472,5.862010336,43.32154137,1.895974049,-6.394635841,0.961446373,1.062270401,NA,NA,NA,NA,NA,NA,NA,-640.23042088,NA,43.39141935896276,2737.545506319393,1498.5407341614437,-587.5339869599101,2098.3741993495123,4843.720083042876,-2633.7485550861193
2019,110.97362235461587,6.91,247,1706.77,1537.9961145595678,0.5034995913486785,6.553462456885116,3769,521,469.4809351497476,97.6085,108.0741,110.722,7.632882645016053,2030.1,13.6,25.1991880579003,49056643589.00145,4203.15492855788,110.97362235461588,148.317518475357,102.293996478295,1.83954504969025,1107,134,1307,1171,185,109.9,30.2665013291613,3207.3869521223005,3744436034.732272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06346472469987476,3577.76415,2213.214888,2223.249772,-4228.396688,5809.513921,282586.6809,6.489050968,38.26911858,2.055834303,-8.5491373,0.930760352,1.069393489,NA,NA,NA,NA,NA,NA,NA,-1022.8183608219999,27886.2685,38.32519283514314,3223.977080397777,1994.3612193965143,-921.6770067697591,2003.403804280275,5235.040361605676,-3810.271845040951
2020,112.01759799924082,6.91,134,925.94,826.6022629821748,0.31668167456579854,7.511210762331838,1784,547,488.31613047416636,91.4817,108.2976,118.3817,9.124055868346664,2024,16,27.8784641014283,42313784081.04197,3580.967617783027,112.01759799924083,149.712803892505,101.092002918913,0.940742153381849,474,87,517,711,82,109.48,29.9557364471746,2765.0927177231047,3860733299.5658464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11067196897085285,3372.101497,2651.322406,1320.403951,-3457.450044,4692.505449,253112.2207,6.032097623,28.13857045,1.853922911,-6.778721274,0.95559157,1.064193171,NA,NA,NA,NA,NA,NA,NA,-276.59480544,28683.7356,28.13857044242264,3010.331909654815,2366.8802521707066,-246.92085027735962,1178.7468885102755,4189.078799057807,-3086.523997794911
2021,112.84359753204902,6.91,182,1257.6200000000001,1114.480597486109,0.3801336919149726,6.878306878306878,2646,793,702.7425723242985,93.5559,115.1836,123.1173,8.810019122557634,2523,19.1,27.6474189108283,47877892402.31548,4010.7605368620434,112.84359753204902,150.816761737338,103.959121577863,0.737383721452274,863,106,881,791,111,116.96,29.654958717383497,3011.5511080755714,4218051476.121563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.08394574137138901,51.97980465,-985.7951128,1860.447715,-360.2458511,1922.92752,279206.2318,0.090686403,96.75079773,0.68871225,-0.768235397,0.994745481,1.000907687,NA,NA,NA,NA,NA,NA,NA,-987.9053821140001,29370.7247999999,97.28199871023018,46.06358339048617,-873.5941908622875,-875.4642741990057,1648.6958548725895,1704.0643528347844,-319.2435007202651
2022,114.81421769510712,6.91,188,1299.08,1131.4626586140657,0.36892344365788876,7.137433561123766,2634,923,803.9074067038079,97.8081,114.5832,117.151,8.660284813061772,1716.7,21.6,24.8081351819188,50959081953.6903,4219.461137424454,114.81421769510712,153.450518176398,106.65270527767,1.74632872945968,938,150,843,760,92,115.45,29.3647401291869,3088.2412615524054,4413201635.311143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.08644394868479852,2104.354439,1116.321427,1792.66728,-2076.054744,3907.521718,304097.2347,3.457983228,45.87734654,1.284957991,-4.608356644,0.967914708,1.035818427,NA,NA,NA,NA,NA,NA,NA,-558.1929959979999,30048.7779,46.00095686559349,1832.83436602615,972.2850091305137,-486.17062172587333,1561.363493117626,3403.343067124797,-1808.1861163858912
2023,117.7728514988028,6.91,244,1686.04,1431.603275749114,0.4661808086651611,9.179834462001505,2658,1604,1361.9437583340718,100.4615,120.9232,120.3677,9.310980097565514,1980,21.8,25.0789048195618,52340206946.454414,4274.70820547613,117.77285149880278,157.40476617273,106.85442544597,2.57688800489192,1131,296,673,735,119,NA,29.08485859554619,3122.770494478231,4873386251.808972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0701741199547281,3938.053059,2959.961784,2015.405168,-2985.118108,5963.958226,311885.6002,5.7947731750000004,33.79307988,1.912226221,-5.537348065,0.967134028,1.061512226,NA,NA,NA,NA,NA,NA,NA,-269.104378232,31512.8951966846,33.85268009204761,3343.7698152702296,2513.2802223355266,-228.4944066542666,1711.2646440597453,5063.949925726835,-2534.640258778438
2024,NA,NA,261,NA,NA,NA,10.74074074074074,2430,970,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,936,160,609,773,113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
