year,cpi_2015base,bob_per_usd,inv_agro_usd_mm,inv_agro_bob_mm_current,inv_agro_bob_mm_2015,inv_agro_pct_gdp,inv_agro_pct_total,inv_pub_total_usd_mm,emapa_bob_mm,emapa_bob_mm_2015,tfp_index,tfp_output,tfp_input,agr_value_added_pct_gdp,cereal_yield_kg_ha,undernourishment_pct,agr_employment_pct,gdp_current_usd,gdp_per_capita_usd,cpi_index,cpi_2010base,gdp_deflator,inflation_cpi,inv_productivos_usd_mm,inv_hidrocarb_usd_mm,inv_infraestr_usd_mm,inv_sociales_usd_mm,inv_multisec_usd_mm,agr_food_prod_index,rural_pop_pct,gdp_per_capita_const2015,agr_gdp_usd,aper_agro_spend_bob_current_aper,aper_agro_spend_bob_2015,aper_agro_spend_usd,aper_agro_spend_usd_2015,aper_spend_administracion_general,aper_spend_fomento_produccion,aper_spend_investigacion_extension,aper_spend_riego_agua,aper_spend_sanidad_inocuidad,aper_agro_spend_pct_gdp,tfp_per_mbob,PSE_BOB_mm,MPS_BOB_mm,GSSE_BOB_mm,CSE_BOB_mm,TSE_BOB_mm,GDP_BOB_mm,PSEP_pct,GSSEP_pct,TSEP_pct,CSEP_pct,NPC_producer,NAC_producer,bob_per_usd_idb,PSE_USD_mm,MPS_USD_mm,GSSE_USD_mm,CSE_USD_mm,TSE_USD_mm,GDP_USD_mm,BT_BOB_mm_agg,GHG_total_GgCO2e,GSSE_pct_total_support,PSE_BOB_2015,MPS_BOB_2015,BT_agg_BOB_2015,GSSE_BOB_2015,TSE_BOB_2015,CSE_BOB_2015,mun_p10_agropecuario_bob_mm,mun_p10_corriente_bob_mm,mun_p10_inversion_bob_mm,mun_p10_pct_presup_total,mun_agro_strict_bob_mm,mun_rural_infra_bob_mm,mun_rural_total_bob_mm,mun_p10_agropecuario_bob_mm_2015,mun_agro_strict_bob_mm_2015,mun_rural_infra_bob_mm_2015,mun_rural_total_bob_mm_2015
2001,47.6060069864424,6.60691666666666,59,389.808083333333,818.821211878462,0.72468067706434,9.23317683881064,639,0,0,77.6439,55.1181,70.9883,13.2556536661742,1784.9,26.6,41.7594305497931,8141516928.39489,930.168227214312,47.6060069864424,63.6259740912743,42.2107516933338,1.58965377879567,83,0,214,295,47,55.36,37.6625189620995,2013.84581083123,1079211287.20097,76186792.43,160036090.512059,11531368.7569845,24222507.8029932,26595830.78,8469798.46,29973868.4,11147294.79,0,0.297518361946938,0.0948239968306106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,48.0479139601927,7.17,54,387.18,805.820623806428,0.683070033017433,9.23076923076923,585,0,0,78.8467,57.4987,72.9246,12.955118631021,1712.4,25.8,39.689843392934,7905485146.44352,888.221328974352,48.0479139601927,64.2165878277003,43.4014145941989,0.928258851611069,76,0,209,251,48,57.97,37.1812367914945,2029.66993638623,1024164979.0795,58929267.85,122646880.983891,8218865.80892608,17105562.2013796,26042579.19,8827607.96,18121206.15,5937874.55,0,0.216375869216261,0.0978464656657142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,49.6514049792295,7.65916666666666,41,314.025833333333,632.461122630263,0.507275089435172,8.2,500,0,0,86.9796,60.3129,69.3415,13.4272369562791,1963.3,26.6,32.7285535078715,8082399639.54305,893.013760211149,49.6514049792295,66.3596719570179,46.1487207928583,3.33727499671533,62,0,214,187,36,60.84,36.7081288909526,2050.07133411879,1085242951.35489,63439550.83,127769900.683653,8282826.78663911,16681958.5268615,27989278.91,13561757.29,11277989.6,10610525.03,0,0.206398585455305,0.137525607326299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,51.8546268912131,7.93626666666666,49,388.877066666666,749.937064406036,0.558503099895146,8.13953488372093,602,0,0,83.9078,60.5721,72.1888,13.3223836388477,1618.7,27.2,32.7286960150389,8773451751.5121,953.191893246277,51.8546268912131,69.3043033000566,49.825716807865,4.43738080101724,73,0,279,221,29,60.88,36.2435328387748,2099.990810637,1168832900.70565,69091703.28,133241154.014952,8705819.27018582,16788895.7883159,34383617.61,18094896.84,14789163.45,1824025.38,0,0.191360211052878,0.111886455520713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,54.6512667393757,8.06606249999999,57,459.765562499999,841.271556783044,0.596913460692744,9.06200317965024,629,0,0,81.5449,64.3316,78.891,11.7927215329112,1927,27.6,36.1513053363708,9549122905.32852,1020.12326200737,54.6512667393757,73.0420445177246,52.7857618112263,5.39323106890663,92,4,306,194,38,64.82,35.7866937794741,2156.18670325307,1126101473.06083,94383141.72,172700739.344433,11701265.8555522,21410786.1604635,24605847.27,34226885.82,29227278.26,6323130.37,0,0.224217306371834,0.0969305325284279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,56.9916504264186,8.01161666666666,76,608.882866666666,1068.37205469736,0.66364852693087,8.64618885096701,879,0,0,84.5739,68.2934,80.7499,10.9375480546288,2100.1,26,37.0084911917765,11451844902.2214,1202.71150446327,56.9916504264186,76.1699941455487,59.9982391480471,4.28239604802561,142,7,437,263,37,68.88,35.3368568575638,2221.42722587103,1252551039.32202,75451069.18,132389689.744841,9417708.35016654,16524715.953481,25452467.96,15125819.42,34868961.13,3820.67,0,0.144297413164194,0.079161467794061,-1169.22,-1302.18,251.0802928,1328.66,-918.136251,91747.8,-7.873531125,,-1.000717512,10.72667908,1.054672188,0.927011464,8.011533712,-145.942093240985,-162.538166449895,31.3398534944591,165.843401246615,-114.601808343486,11451.9645423917,196.571658798,,-27.346632634559,-2051.56367862968,-2284.86101079181,344.913083455605,440.556276088491,-1611.00133814408,2331.32395720917,,,,,,,,,,,
2007,61.9531208095693,7.85124516125,83,651.65334838375,1051.84910762897,0.632616743301129,8.25870646766169,1005,0,0,87.7315,72.5445,82.6892,10.011155665672,1763.3,24.5,33.7435071194995,13120108008.3477,1354.54905949929,61.9531208095693,82.8010561907833,64.4221216308726,8.70560923578869,192,8,481,284,48,73.22,34.8932672175567,2283.4273357151,1313474436.21999,279464243.82,451089856.601435,35594894.5779075,57454562.5995479,218590448.24,34429961.73,20069817.1,5774766.75,599250,0.437912268427914,0.0834069253505007,310.1166745,165.2371857,254.8661617,-210.9556298,564.9828362,103009.18,1.86395719,45.11042555,0.548478131,-1.495228859,0.963084186,1.018993605,7.844070733,39.5351705837301,21.0652340250895,32.491568520383,-26.8936419597174,72.0267391041131,13132.1074868232,181.539512705,,45.1104255510125,500.566671133861,266.713255992227,293.027228221503,411.385509510335,911.952180644196,-340.508479707476,,,,,,,,,,,
2008,70.6307772076312,7.23832069891666,82,593.542297311166,840.34513108407,0.491775466557203,6.06957809030348,1351,237,335.547773038513,91.8818,73.7071,80.2194,10.4424041155226,2016.4,23,28.9645642457905,16674276285.8956,1692.67248455876,70.6307772076312,94.3988434471963,71.1098991727448,14.0068107702519,227,13,570,427,127,74.43,34.4551700039662,2383.2503257823,1741195313.11198,372193622.53,526956713.835773,51419885.6353111,72800962.5098045,107250846.56,238655251.79,21332564.62,3200380.49,1754579.07,0.43660643053747,0.109338171426625,-2857.43,-3025.38,201.9915304,3081.61,-2655.43,120693.76,-14.99668687,,-2.200142308,18.34055749,1.171459293,0.86959027,7.238472191,-394.755954654741,-417.958364717022,27.9052713155612,425.726578577112,-366.849513258011,16673.9274276781,-52.93723956,,-7.60671100883866,-4045.58765026767,-4283.37350884074,-74.9492525112416,285.982313073253,-3759.59334582134,4362.98469566756,,,,,,,,,,,
2009,72.9944038189918,7.02,90,631.8,865.545804808146,0.519031375530445,6.25434329395413,1439,281,384.961017966269,99.2028,78.8051,79.4384,11.1524074497311,2346,21.4,27.9142437529609,17339992193.7322,1731.18172112209,72.9944038189918,97.5578575098271,69.3891147558216,3.34645420142013,267,31,612,475,85,79.67,34.0218103613051,2422.57579390007,1933826581.19658,,,,,,,,,,,0.114612998467469,-5779.11,-5949.13,257.8560291,5713.37,-5521.25,121726.75,-26.90620958,,-4.535776277,34.00310593,1.293126878,0.787983506,7.02,-823.235042735043,-847.454415954416,36.7316280769231,813.870370370371,-786.502849002849,17339.9928774929,95.179130351,,-4.67024394202913,-7917.19597344856,-8150.11793883869,130.392366224431,353.254517619487,-7563.936015823,7827.13427479695,,,,,,,,,,,
2010,74.8216552537953,7.01666666666666,84,589.4,787.739856864637,0.427486926472716,5.52268244575937,1521,392,523.912493876719,87.4813,77.3566,88.4264,10.3899057010594,2267.3,19.9,29.8040198576427,19649723722.1034,1929.78373077158,74.8216552537953,100,75.4797499348189,2.5032760584424,303,109,654,472,93,78.67,33.5924334340867,2481.40700850945,2041587765.24524,,,,,,,,,,,0.111053540375871,1563.342994,1156.718424,592.2175604,-871.7205109,2155.560554,137875.568,6.073142386,27.47394683,1.563410098,-3.902839985,0.969972719,1.064658209,,,,,,,,433.000916069,,27.4739468205218,2089.42583360009,1545.96743426272,578.710688236259,791.505558639669,2880.93139170516,-1165.0644561967,,,,,,,,,,,
