year,agro_spend_bob
1996,24451298.529999997
1997,139764264.14
1998,46337592.27
1999,57999856.279999994
2000,52269704.07999999
2001,76186792.42999999
2002,58929267.85000001
2003,63439550.83000002
2004,69091703.28
2005,94383141.72000003
2006,75451069.17999999
2007,279464243.82
2008,372193622.53000003
