year,cpi_index,cpi_2010base,gdp_deflator,inflation_cpi
2000,46.86107808783476,62.6303680784417,41.4358622611468,4.60822998872598
2001,47.60600698644243,63.6259740912743,42.2107516933338,1.58965377879567
2002,48.047913960192645,64.2165878277003,43.4014145941989,0.928258851611069
2003,49.65140497922946,66.3596719570179,46.1487207928583,3.33727499671533
2004,51.85462689121309,69.3043033000566,49.825716807865,4.43738080101724
2005,54.65126673937566,73.0420445177246,52.7857618112263,5.39323106890663
2006,56.99165042641857,76.1699941455487,59.9982391480471,4.28239604802561
2007,61.95312080956928,82.8010561907833,64.4221216308726,8.70560923578869
2008,70.63077720763123,94.3988434471963,71.1098991727448,14.0068107702519
2009,72.99440381899176,97.5578575098271,69.3891147558216,3.34645420142013
2010,74.82165525379531,99.9999999999999,75.4797499348189,2.5032760584424
2011,82.21737497988586,109.884464198238,86.5015703998176,9.88446419823883
2012,85.9299851602867,114.8464102656,92.6434202110263,4.51560291399375
2013,90.85927303284465,121.434460016488,98.1977530505842,5.73640023719606
2014,96.09876454917689,128.437100493446,100.210313765951,5.76660074579143
2015,100,133.651146397122,95.5799937448752,4.05961041135644
2016,103.62321431764185,138.493613869075,94.2850085286961,3.62321431764138
2017,106.54824694713164,142.402953510878,100,2.8227580554717
2018,108.96908691065828,145.638433874571,102.475118360273,2.27205987230154
2019,110.97362235461588,148.317518475357,102.293996478295,1.83954504969025
2020,112.01759799924085,149.712803892505,101.092002918913,0.940742153381849
2021,112.84359753204902,150.816761737338,103.959121577863,0.737383721452274
2022,114.81421769510713,153.450518176398,106.65270527767,1.74632872945968
2023,117.77285149880278,157.40476617273,106.85442544597,2.57688800489192
